a ma tơ
an dưỡng đường
an toàn khu
anh chị em
anh hùng ca
anh hùng rơm
ba lăng nhăng
ba vạn hai
ba xị đế
ban bí thư
ban chấp hành
ban chấp uỷ
ban chỉ đạo
ban giám hiệu
bao cao su
bi hài kịch
bia đỡ đạn
binh công xưởng
biên niên sử
biên tập viên
biết bao nhiêu
biết chừng nào
biết đâu chừng
biết đâu đấy
biểu thống kê
biểu đồng tình
biện chứng pháp
biệt động quân
biệt động đội
bo mạch chủ
bom ba càng
bom bươm bướm
bom hoá học
bom khinh khí
bom lân tinh
bom nguyên tử
bom nổ chậm
bom từ trường
buôn hàng xách
buôn nước bọt
buồn rười rượi
bà ăn nem
bàn là hơi
bàn tay vàng
bàn thắng bạc
bàn thắng vàng
bào chế học
bào tử nang
bách chu niên
bách khoa thư
bái vật giáo
bán bình nguyên
bán công khai
bán cầu não
bán hoá giá
bán nguyên âm
bán nguyệt san
bán phá giá
bán phụ âm
bán sơn địa
bán thành phẩm
bán trả dần
bán trả góp
bán tự động
bán vũ trang
bán đấu giá
bánh mì gối
bánh phồng tôm
bánh tai voi
bánh trung thu
bánh ú tro
bánh đa nem
bánh đậu xanh
báo cáo viên
báo vụ viên
báo điện tử
bát chiết yêu
bát ô tô
bèo hoa dâu
bèo lục bình
bé cái lầm
bé hạt tiêu
béo nung núc
bình luận viên
bình nóng lạnh
bình thông nhau
bình thường hoá
bít tất tay
bóc đất đá
bói không ra
bói đâu ra
bón đón đòng
bóng bán dẫn
bóng bầu dục
bóng nửa tối
bóng thám không
bóng điện tử
bôn sê vích
bông thấm nước
bùa cứu mạng
bùa hộ mệnh
bùa hộ thân
búng ra sữa
băng thông rộng
băng vệ sinh
bơm chân không
bước nhảy vọt
bạch cương tàm
bạch huyết bào
bạch huyết cầu
bạch mao căn
bạch phụ tử
bạch đầu quân
bạch đậu khấu
bạch đồng nữ
bạn con dì
bạn nối khố
bạn trăm năm
bạn vong niên
bản ghi nhớ
bản in thử
bản mạch chủ
bản thể luận
bản đồ học
bảng chữ cái
bảng cân đối
bảng cửu chương
bảng tuần hoàn
bảng tổng sắp
bảo an binh
bấm ra sữa
bất bình đẳng
bất bạo động
bất hợp lí
bất hợp lý
bất hợp lệ
bất hợp pháp
bất hợp tác
bất khả kháng
bất khả thi
bất như ý
bất phương trình
bất thành cú
bất thành văn
bất thình lình
bất tín nhiệm
bất đắc chí
bất đắc dĩ
bất đẳng thức
bất động sản
bất ổn định
bấy lâu nay
bần cùng hoá
bần cố nông
bầu không khí
bẫy cò ke
bậc tam cấp
bật lò xo
bật đèn xanh
bắc bán cầu
bắc cực quyền
bắc sài hồ
bắn tốc độ
bắt bước một
bắt chuồn chuồn
