ai khảo mà xưng
am thanh cảnh vắng
an bần lạc đạo
an cư lạc nghiệp
an giấc nghìn thu
an giấc ngàn thu
an phận thủ thường
an toàn lao động
anh em cọc chèo
anh em thúc bá
anh em đồng hao
anh hùng chủ nghĩa
anh hùng cá nhân
anh hùng mạt lộ
anh hùng mạt vận
ba bề bốn bên
ba chân bốn cẳng
ba chìm bảy nổi
ba cọc ba đồng
ba hoa chích choè
ba hoa thiên địa
ba hoa xích đế
ba hồn bảy vía
ba hồn chín vía
ba máu sáu cơn
ba mũi giáp công
ba mặt một lời
ba que xỏ lá
ba trợn ba trạo
ba đầu sáu tay
ban ngày ban mặt
bao vây kinh tế
bi ba bi bô
binh hùng tướng mạnh
biết người biết của
biết người biết ta
biết thân biết phận
biết tỏng tòng tong
biệt tăm biệt tích
biệt vô âm tín
buôn dân bán nước
buôn gian bán lận
buôn gánh bán bưng
buôn phấn bán hương
buôn phấn bán son
buôn thúng bán bưng
buôn thúng bán mẹt
buôn thần bán thánh
buốt như kim châm
buồn thỉu buồn thiu
buổi đực buổi cái
buộc chỉ chân voi
buộc chỉ cổ tay
bài binh bố trận
bàn dân thiên hạ
bàn ra tán vào
bày mưu đặt chước
bác cổ thông kim
bách chiến bách thắng
bách gia chư tử
bách khoa toàn thư
bách niên giai lão
bách phát bách trúng
bán nước buôn dân
bán sống bán chết
bán thân bất toại
bán trôn nuôi miệng
bán tín bán nghi
bán tống bán tháo
bán tống bán táng
bán vợ đợ con
bán đổ bán tháo
bát nháo chi khươn
bãi bể nương dâu
bèo hợp mây tan
bèo trôi sóng vỗ
bé xé ra to
bê tông cốt sắt
bê tông cốt thép
bì bà bì bõm
bì phấn với vôi
bình an vô sự
bình chân như vại
bình công chấm điểm
bình cũ rượu mới
bình dân học vụ
bình yên vô sự
bình địa ba đào
bí mật nhà nghề
bí thư thứ nhất
bò lê bò càng
bò lê bò la
bó tay chịu chết
bóc ngắn cắn dài
bóc áo tháo cày
bóng chim tăm cá
bóng đá mi ni
bóp hầu bóp cổ
bóp hầu bóp họng
bóp mồm bóp miệng
bô lô ba la
bôi gio trát trấu
bôi tro trát trấu
bôi tro trét trấu
bù lu bù loa
bùa mê bả dột
bùa mê thuốc lú
bùn lầy nước đọng
bùng nổ dân số
bút sa gà chết
bĩ cực thái lai
bơ thừa sữa cặn
bưng kín miệng bình
bưng tai giả điếc
bước thấp bước cao
bướm chán ong chường
bướm lả ong lơi
bạ ăn bạ nói
bạch diện thư sinh
bạo mồm bạo miệng
bạo thiên nghịch địa
bạo ăn bạo nói
bạt vía kinh hồn
bảo hiểm bắt buộc
bảo hiểm hỗn hợp
bảo hiểm nhân thọ
bảo hiểm xã hội
bảo hiểm y tế
bảo hoàng hơn vua
bảo hộ lao động
bảo hộ mậu dịch
bảo tồn bảo tàng
bấp ba bấp bênh
bất cộng đái thiên
bất di bất dịch
bất khả chiến bại
bất khả tri luận
bất khả xâm phạm
bất phân thắng bại
bất tỉnh nhân sự
bất đắc kì tử
bất đắc kỳ tử
bầm gan tím ruột
bần cùng khố bện
bầu rượu túi thơ
bầu đoàn thê tử
bầu đàn thê tử
bẩn thẩn bần thần
bập bà bập bõm
